V_bias/mV,Current,Temperature
1700,1.9116715e-10,1200.0
1800,2.0125315e-10,1200.0
1900,2.107632e-10,1200.0
2000,2.201053e-10,1200.0
2100,2.2869604999999998e-10,1200.0
2200,2.3721435e-10,1200.0
2300,2.4513749999999997e-10,1200.0
2400,2.531293e-10,1200.0
2500,2.6081975e-10,1200.0
2600,2.684376e-10,1200.0
2700,2.7603655000000005e-10,1200.0
2800,2.8331499999999997e-10,1200.0
2900,2.9049410000000006e-10,1200.0
3000,2.9762e-10,1200.0
3100,3.0473815e-10,1200.0
3200,3.11929e-10,1200.0
3300,3.188653e-10,1200.0
3400,3.2596835e-10,1200.0
3500,3.329073e-10,1200.0
3600,3.3973925e-10,1200.0
3700,3.4655625000000004e-10,1200.0
3800,3.5371635e-10,1200.0
3900,3.603387e-10,1200.0
4000,3.6741875e-10,1200.0
4100,3.7429285000000004e-10,1200.0
4200,3.812279e-10,1200.0
4300,3.8802575e-10,1200.0
4400,3.9487705e-10,1200.0
4500,4.0169e-10,1200.0
4600,4.083581e-10,1200.0
4700,4.151635e-10,1200.0
4800,4.2180105e-10,1200.0
4900,4.286179e-10,1200.0
5000,4.35534e-10,1200.0
