V_bias/mV,Current,Temperature
500,1.0604902000000001e-13,850.0
600,1.2664900000000002e-13,850.0
700,1.4801100000000001e-13,850.0
800,1.632702e-13,850.0
900,1.7318830000000002e-13,850.0
1000,1.9226150000000001e-13,850.0
1100,1.991283e-13,850.0
1200,2.0675789999999997e-13,850.0
1300,2.2888290000000004e-13,850.0
1400,2.372751e-13,850.0
1500,2.601643e-13,850.0
1600,2.6855670000000003e-13,850.0
1700,2.700826e-13,850.0
1800,2.731341e-13,850.0
1900,3.1128120000000005e-13,850.0
2000,3.0441460000000004e-13,850.0
2100,3.3416930000000003e-13,850.0
2200,2.6245246e-13,850.0
2300,3.64687e-13,850.0
2400,3.7460520000000006e-13,850.0
2500,3.921526e-13,850.0
2600,4.051227e-13,850.0
2700,4.1885600000000006e-13,850.0
2800,4.3029960000000007e-13,850.0
2900,4.4403260000000006e-13,850.0
3000,4.4632140000000006e-13,850.0
3100,4.562399e-13,850.0
3200,4.791280000000001e-13,850.0
3300,4.905735e-13,850.0
3400,5.027808999999999e-13,850.0
3500,5.241432999999999e-13,850.0
3600,5.310094e-13,850.0
3700,5.40165e-13,850.0
3800,5.447427e-13,850.0
3900,5.600015e-13,850.0
4000,5.798379e-13,850.0
4100,5.828896e-13,850.0
4200,5.950963000000001e-13,850.0
4300,6.088293000000001e-13,850.0
4400,6.156960000000001e-13,850.0
4500,6.324802000000001e-13,850.0
4600,6.446875000000001e-13,850.0
4700,6.530799e-13,850.0
4800,6.698644000000001e-13,850.0
4900,6.782569e-13,850.0
5000,6.851233e-13,850.0
-5000,-6.340062000000001e-13,900.0
-4900,-6.286656000000001e-13,900.0
-4800,-6.279027e-13,900.0
-4700,-5.935706e-13,900.0
-4600,-6.225623e-13,900.0
-4500,-5.950963000000001e-13,900.0
-4400,-5.729713e-13,900.0
-4300,-5.630531000000001e-13,900.0
-4200,-5.89756e-13,900.0
-4100,-5.722084e-13,900.0
-4000,-5.615273999999999e-13,900.0
-3900,-5.500832e-13,900.0
-3800,-5.233803e-13,900.0
-3700,-5.294837e-13,900.0
-3600,-5.188026999999999e-13,900.0
-3500,-5.249062e-13,900.0
-3400,-5.050696e-13,900.0
-3300,-5.287208e-13,900.0
-3200,-4.783652e-13,900.0
-3100,-4.737872e-13,900.0
-3000,-4.84469e-13,900.0
-2900,-4.585286000000001e-13,900.0
-2800,-4.5395080000000006e-13,900.0
-2700,-4.2724810000000004e-13,900.0
-2600,-4.28011e-13,900.0
-2500,-4.333515e-13,900.0
-2400,-4.1580400000000004e-13,900.0
-2300,-3.891011e-13,900.0
-2200,-4.1275230000000005e-13,900.0
-2100,-3.875752e-13,900.0
-2000,-3.822346e-13,900.0
-1900,-3.601094e-13,900.0
-1800,-3.5400570000000007e-13,900.0
-1700,-3.4942820000000003e-13,900.0
-1600,-3.456134e-13,900.0
-1500,-3.2882870000000003e-13,900.0
-1400,-2.9602240000000006e-13,900.0
-1300,-2.998371e-13,900.0
-1200,-3.0136300000000006e-13,900.0
-1100,-2.914446e-13,900.0
-1000,-2.647417e-13,900.0
-900,-2.3727520000000003e-13,900.0
-800,-2.487197e-13,900.0
-700,-2.319345e-13,900.0
-600,-2.1972740000000003e-13,900.0
-500,-1.9455050000000003e-13,900.0
-400,-1.4343360000000003e-13,900.0
-300,-1.3580406000000001e-13,900.0
-200,-9.765672000000002e-14,900.0
-100,-4.806544e-14,900.0
0,3.509541e-14,900.0
100,5.035428e-14,900.0
200,6.713906000000001e-14,900.0
300,1.525889e-13,900.0
400,1.518259e-13,900.0
500,2.143869e-13,900.0
600,1.6708448e-13,900.0
700,2.624527e-13,900.0
800,3.112811e-13,900.0
900,3.395098e-13,900.0
1000,3.463763e-13,900.0
1100,3.738422e-13,900.0
1200,3.8452349999999996e-13,900.0
1300,4.386921e-13,900.0
1400,4.737874000000001e-13,900.0
1500,4.91336e-13,900.0
1600,5.210915e-13,900.0
1700,5.455055e-13,900.0
1800,5.485572e-13,900.0
1900,6.057776000000001e-13,900.0
2000,6.172218000000001e-13,900.0
2100,6.362951000000001e-13,900.0
